record_type,selection_role,scenario,model_name,split,MAE,RMSE,R2,MAE_improvement_vs_baseline_pct,RMSE_improvement_vs_baseline_pct,uses_feed_variables,uses_target_lags,operational_leakage_risk,model_class,model_params,feature_columns_path,saved_model_path,artifacts,selected_model_metadata_path
validation_candidate,Best statistical model + Recommended under lagged-lab availability,Feed ON + TargetLags ON,Extra Trees Regressor,validation,0.4814,0.6629,0.5899,39.12,36.11,True,True,Conditional — valid if the latest lab result is already available before inference,ExtraTreesRegressor,"{""bootstrap"": false, ""ccp_alpha"": 0.0, ""criterion"": ""squared_error"", ""max_depth"": null, ""max_features"": 1.0, ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 5, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 300, ""n_jobs"": -1, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}",C:\Users\ADMIN\MINSUR\minsur_prediction\models\selected\feature_columns.json,C:\Users\ADMIN\MINSUR\minsur_prediction\models\selected\model_lagged_lab_assumption.pkl,"[""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\validation_sensitivity_table.csv"", ""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\performance_vs_operational_leakage_risk.csv"", ""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\mlflow_leaderboard.csv""]",
validation_candidate,Alternative benchmark,Feed ON + TargetLags ON,Random Forest,validation,0.4949,0.6666,0.5852,37.42,35.75,True,True,Conditional — valid if the latest lab result is already available before inference,RandomForestRegressor,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""criterion"": ""squared_error"", ""max_depth"": 10, ""max_features"": 1.0, ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 10, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 300, ""n_jobs"": -1, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}",,,"[""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\validation_sensitivity_table.csv"", ""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\performance_vs_operational_leakage_risk.csv"", ""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\mlflow_leaderboard.csv""]",
validation_candidate,Alternative benchmark,Feed ON + TargetLags ON,Ridge,validation,0.568,0.7462,0.4803,28.17,28.08,True,True,Conditional — valid if the latest lab result is already available before inference,Ridge,"{""alpha"": 1.0, ""copy_X"": true, ""fit_intercept"": true, ""max_iter"": null, ""positive"": false, ""random_state"": null, ""solver"": ""auto"", ""tol"": 0.0001}",,,"[""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\validation_sensitivity_table.csv"", ""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\performance_vs_operational_leakage_risk.csv"", ""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\mlflow_leaderboard.csv""]",
validation_candidate,Alternative benchmark,Feed ON + TargetLags ON,LightGBM,validation,0.5962,0.7569,0.4653,24.61,27.05,True,True,Conditional — valid if the latest lab result is already available before inference,LGBMRegressor,"{""boosting_type"": ""gbdt"", ""class_weight"": null, ""colsample_bytree"": 1.0, ""importance_type"": ""split"", ""learning_rate"": 0.05, ""max_depth"": -1, ""min_child_samples"": 20, ""min_child_weight"": 0.001, ""min_split_gain"": 0.0, ""n_estimators"": 500, ""n_jobs"": -1, ""num_leaves"": 63, ""objective"": null, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0, ""subsample"": 1.0, ""subsample_for_bin"": 200000, ""subsample_freq"": 0, ""verbosity"": -1}",,,"[""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\validation_sensitivity_table.csv"", ""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\performance_vs_operational_leakage_risk.csv"", ""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\mlflow_leaderboard.csv""]",
validation_candidate,Alternative benchmark,Feed ON + TargetLags ON,XGBoost,validation,0.6733,0.8354,0.3486,14.86,19.48,True,True,Conditional — valid if the latest lab result is already available before inference,XGBRegressor,"{""objective"": ""reg:squarederror"", ""base_score"": null, ""booster"": null, ""callbacks"": null, ""colsample_bylevel"": null, ""colsample_bynode"": null, ""colsample_bytree"": 0.8, ""device"": null, ""early_stopping_rounds"": null, ""enable_categorical"": false, ""eval_metric"": null, ""feature_types"": null, ""feature_weights"": null, ""gamma"": null, ""grow_policy"": null, ""importance_type"": null, ""interaction_constraints"": null, ""learning_rate"": 0.05, ""max_bin"": null, ""max_cat_threshold"": null, ""max_cat_to_onehot"": null, ""max_delta_step"": null, ""max_depth"": 6, ""max_leaves"": null, ""min_child_weight"": null, ""missing"": NaN, ""monotone_constraints"": null, ""multi_strategy"": null, ""n_estimators"": 500, ""n_jobs"": -1, ""num_parallel_tree"": null, ""random_state"": 42, ""reg_alpha"": null, ""reg_lambda"": null, ""sampling_method"": null, ""scale_pos_weight"": null, ""subsample"": 0.8, ""tree_method"": null, ""validate_parameters"": null, ""verbosity"": 0}",,,"[""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\validation_sensitivity_table.csv"", ""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\performance_vs_operational_leakage_risk.csv"", ""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\mlflow_leaderboard.csv""]",
validation_candidate,Alternative benchmark,Feed ON + TargetLags ON,Baseline (Mean),validation,0.7925,1.0364,-0.0024,-0.21,0.11,True,True,Conditional — valid if the latest lab result is already available before inference,DummyRegressor,"{""constant"": null, ""quantile"": null, ""strategy"": ""mean""}",,,"[""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\validation_sensitivity_table.csv"", ""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\performance_vs_operational_leakage_risk.csv"", ""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\mlflow_leaderboard.csv""]",
validation_candidate,Strict no-lab-input fallback,Feed ON + TargetLags OFF,Random Forest,validation,0.8188,1.0291,0.0115,-3.54,0.81,True,False,"Lower — no lagged lab input, but feed availability must hold online",RandomForestRegressor,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""criterion"": ""squared_error"", ""max_depth"": 10, ""max_features"": 1.0, ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 10, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 300, ""n_jobs"": -1, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}",,,"[""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\validation_sensitivity_table.csv"", ""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\performance_vs_operational_leakage_risk.csv"", ""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\mlflow_leaderboard.csv""]",
validation_candidate,Alternative benchmark,Feed ON + TargetLags OFF,LightGBM,validation,0.8048,1.0292,0.0115,-1.77,0.8,True,False,"Lower — no lagged lab input, but feed availability must hold online",LGBMRegressor,"{""boosting_type"": ""gbdt"", ""class_weight"": null, ""colsample_bytree"": 1.0, ""importance_type"": ""split"", ""learning_rate"": 0.05, ""max_depth"": -1, ""min_child_samples"": 20, ""min_child_weight"": 0.001, ""min_split_gain"": 0.0, ""n_estimators"": 500, ""n_jobs"": -1, ""num_leaves"": 63, ""objective"": null, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0, ""subsample"": 1.0, ""subsample_for_bin"": 200000, ""subsample_freq"": 0, ""verbosity"": -1}",,,"[""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\validation_sensitivity_table.csv"", ""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\performance_vs_operational_leakage_risk.csv"", ""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\mlflow_leaderboard.csv""]",
validation_candidate,Alternative benchmark,Feed ON + TargetLags OFF,Baseline (Mean),validation,0.7925,1.0364,-0.0024,-0.21,0.11,True,False,"Lower — no lagged lab input, but feed availability must hold online",DummyRegressor,"{""constant"": null, ""quantile"": null, ""strategy"": ""mean""}",,,"[""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\validation_sensitivity_table.csv"", ""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\performance_vs_operational_leakage_risk.csv"", ""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\mlflow_leaderboard.csv""]",
validation_candidate,Alternative benchmark,Feed ON + TargetLags OFF,XGBoost,validation,0.9094,1.1284,-0.1884,-15.0,-8.76,True,False,"Lower — no lagged lab input, but feed availability must hold online",XGBRegressor,"{""objective"": ""reg:squarederror"", ""base_score"": null, ""booster"": null, ""callbacks"": null, ""colsample_bylevel"": null, ""colsample_bynode"": null, ""colsample_bytree"": 0.8, ""device"": null, ""early_stopping_rounds"": null, ""enable_categorical"": false, ""eval_metric"": null, ""feature_types"": null, ""feature_weights"": null, ""gamma"": null, ""grow_policy"": null, ""importance_type"": null, ""interaction_constraints"": null, ""learning_rate"": 0.05, ""max_bin"": null, ""max_cat_threshold"": null, ""max_cat_to_onehot"": null, ""max_delta_step"": null, ""max_depth"": 6, ""max_leaves"": null, ""min_child_weight"": null, ""missing"": NaN, ""monotone_constraints"": null, ""multi_strategy"": null, ""n_estimators"": 500, ""n_jobs"": -1, ""num_parallel_tree"": null, ""random_state"": 42, ""reg_alpha"": null, ""reg_lambda"": null, ""sampling_method"": null, ""scale_pos_weight"": null, ""subsample"": 0.8, ""tree_method"": null, ""validate_parameters"": null, ""verbosity"": 0}",,,"[""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\validation_sensitivity_table.csv"", ""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\performance_vs_operational_leakage_risk.csv"", ""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\mlflow_leaderboard.csv""]",
