base_case_id,scenario_name,scenario_type,main_delta_prediction,fallback_delta_prediction,direction_agreement,fallback_less_sensitive,main_within_training_range,fallback_within_training_range,interpretation,scenario_risk_tag,recommended_use
median_quality_case,Amina Flow +5%,manual_operational,0.0,0.0,True,False,True,True,Both models agree on direction and show comparable sensitivity under the learned model behavior.,directionally_consistent,decision_support_with_caution
median_quality_case,Amina Flow -5%,manual_operational,0.0,-0.0,False,False,True,True,"The models disagree on direction, so this scenario should be treated as low-confidence decision support.",direction_disagreement_exploratory_only,exploratory_not_operational_recommendation
median_quality_case,Starch Flow -5%,manual_operational,0.0,0.0112,False,False,True,True,"The models disagree on direction, so this scenario should be treated as low-confidence decision support.",direction_disagreement_exploratory_only,exploratory_not_operational_recommendation
median_quality_case,Starch Flow +5%,manual_operational,0.0,0.0,False,False,True,True,"The models disagree on direction, so this scenario should be treated as low-confidence decision support.",direction_disagreement_exploratory_only,exploratory_not_operational_recommendation
median_quality_case,Ore Pulp pH +0.2,manual_operational,0.0,0.0,False,False,True,True,"The models disagree on direction, so this scenario should be treated as low-confidence decision support.",direction_disagreement_exploratory_only,exploratory_not_operational_recommendation
median_quality_case,Ore Pulp pH -0.2,manual_operational,0.0,0.0,True,False,True,True,Both models agree on direction and show comparable sensitivity under the learned model behavior.,directionally_consistent,decision_support_with_caution
median_quality_case,Lower predicted silica package,combined_package,0.0,-0.0,False,False,True,True,"The models disagree on direction, so this scenario should be treated as low-confidence decision support.",direction_disagreement_exploratory_only,exploratory_not_operational_recommendation
median_quality_case,Higher predicted silica stress test,combined_package,0.0,0.0112,False,False,True,True,"The models disagree on direction, so this scenario should be treated as low-confidence decision support.",direction_disagreement_exploratory_only,exploratory_not_operational_recommendation
median_quality_case,Conservative small-adjustment package,combined_package,0.0,0.0,False,False,True,True,"The models disagree on direction, so this scenario should be treated as low-confidence decision support.",direction_disagreement_exploratory_only,exploratory_not_operational_recommendation
median_quality_case,Process drift warning scenario,combined_package,0.0279,0.0043,True,True,True,True,"Both models agree on the direction; the fallback is less sensitive, so confidence is stronger for direction than magnitude.",directionally_consistent,decision_support_with_caution
high_silica_case,Amina Flow +5%,manual_operational,0.0,0.0,True,False,True,True,Both models agree on direction and show comparable sensitivity under the learned model behavior.,directionally_consistent,decision_support_with_caution
high_silica_case,Amina Flow -5%,manual_operational,0.0,0.0,True,False,True,True,Both models agree on direction and show comparable sensitivity under the learned model behavior.,directionally_consistent,decision_support_with_caution
high_silica_case,Starch Flow -5%,manual_operational,0.0,0.0,True,False,True,True,Both models agree on direction and show comparable sensitivity under the learned model behavior.,directionally_consistent,decision_support_with_caution
high_silica_case,Starch Flow +5%,manual_operational,0.0,-0.004,False,False,True,True,"The models disagree on direction, so this scenario should be treated as low-confidence decision support.",direction_disagreement_exploratory_only,exploratory_not_operational_recommendation
high_silica_case,Ore Pulp pH +0.2,manual_operational,0.0,0.0,True,False,True,True,Both models agree on direction and show comparable sensitivity under the learned model behavior.,directionally_consistent,decision_support_with_caution
high_silica_case,Ore Pulp pH -0.2,manual_operational,0.0,0.0,True,False,True,True,Both models agree on direction and show comparable sensitivity under the learned model behavior.,directionally_consistent,decision_support_with_caution
high_silica_case,Lower predicted silica package,combined_package,0.0,-0.004,False,False,True,True,"The models disagree on direction, so this scenario should be treated as low-confidence decision support.",direction_disagreement_exploratory_only,exploratory_not_operational_recommendation
high_silica_case,Higher predicted silica stress test,combined_package,0.0,0.0,True,False,True,True,Both models agree on direction and show comparable sensitivity under the learned model behavior.,directionally_consistent,decision_support_with_caution
high_silica_case,Conservative small-adjustment package,combined_package,0.0,-0.004,False,False,True,True,"The models disagree on direction, so this scenario should be treated as low-confidence decision support.",direction_disagreement_exploratory_only,exploratory_not_operational_recommendation
high_silica_case,Process drift warning scenario,combined_package,0.1534,-0.0,False,True,True,True,"The models disagree on direction, so this scenario should be treated as low-confidence decision support.",direction_disagreement_exploratory_only,exploratory_not_operational_recommendation
low_silica_case,Amina Flow +5%,manual_operational,0.0,0.023,False,False,True,True,"The models disagree on direction, so this scenario should be treated as low-confidence decision support.",direction_disagreement_exploratory_only,exploratory_not_operational_recommendation
low_silica_case,Amina Flow -5%,manual_operational,0.0,0.0,False,False,True,True,"The models disagree on direction, so this scenario should be treated as low-confidence decision support.",direction_disagreement_exploratory_only,exploratory_not_operational_recommendation
low_silica_case,Starch Flow -5%,manual_operational,0.0,-0.0007,False,False,True,True,"The models disagree on direction, so this scenario should be treated as low-confidence decision support.",direction_disagreement_exploratory_only,exploratory_not_operational_recommendation
low_silica_case,Starch Flow +5%,manual_operational,-0.0006,-0.0023,True,False,True,True,Both models agree on direction and show comparable sensitivity under the learned model behavior.,directionally_consistent,decision_support_with_caution
low_silica_case,Ore Pulp pH +0.2,manual_operational,-0.001,0.0,False,True,True,True,"The models disagree on direction, so this scenario should be treated as low-confidence decision support.",direction_disagreement_exploratory_only,exploratory_not_operational_recommendation
low_silica_case,Ore Pulp pH -0.2,manual_operational,0.0023,0.0,True,True,True,True,"Both models agree on the direction; the fallback is less sensitive, so confidence is stronger for direction than magnitude.",directionally_consistent,decision_support_with_caution
low_silica_case,Lower predicted silica package,combined_package,-0.0016,0.0208,False,False,True,True,"The models disagree on direction, so this scenario should be treated as low-confidence decision support.",direction_disagreement_exploratory_only,exploratory_not_operational_recommendation
low_silica_case,Higher predicted silica stress test,combined_package,0.0023,-0.0007,False,True,True,True,"The models disagree on direction, so this scenario should be treated as low-confidence decision support.",direction_disagreement_exploratory_only,exploratory_not_operational_recommendation
low_silica_case,Conservative small-adjustment package,combined_package,-0.0016,0.0,False,True,True,True,"The models disagree on direction, so this scenario should be treated as low-confidence decision support.",direction_disagreement_exploratory_only,exploratory_not_operational_recommendation
low_silica_case,Process drift warning scenario,combined_package,0.1194,-0.0007,False,True,True,True,"The models disagree on direction, so this scenario should be treated as low-confidence decision support.",direction_disagreement_exploratory_only,exploratory_not_operational_recommendation
high_error_case,Amina Flow +5%,manual_operational,0.0,0.0275,False,False,True,True,"The models disagree on direction, so this scenario should be treated as low-confidence decision support.",direction_disagreement_exploratory_only,exploratory_not_operational_recommendation
high_error_case,Amina Flow -5%,manual_operational,-0.0,-0.0027,True,False,True,True,Both models agree on direction and show comparable sensitivity under the learned model behavior.,directionally_consistent,decision_support_with_caution
high_error_case,Starch Flow -5%,manual_operational,0.0,0.004,False,False,True,True,"The models disagree on direction, so this scenario should be treated as low-confidence decision support.",direction_disagreement_exploratory_only,exploratory_not_operational_recommendation
high_error_case,Starch Flow +5%,manual_operational,0.0,0.0,False,False,True,True,"The models disagree on direction, so this scenario should be treated as low-confidence decision support.",direction_disagreement_exploratory_only,exploratory_not_operational_recommendation
high_error_case,Ore Pulp pH +0.2,manual_operational,0.0023,-0.0013,False,True,True,True,"The models disagree on direction, so this scenario should be treated as low-confidence decision support.",direction_disagreement_exploratory_only,exploratory_not_operational_recommendation
high_error_case,Ore Pulp pH -0.2,manual_operational,-0.001,-0.0047,True,False,True,True,Both models agree on direction and show comparable sensitivity under the learned model behavior.,directionally_consistent,decision_support_with_caution
high_error_case,Lower predicted silica package,combined_package,0.0023,0.0262,True,False,True,True,Both models agree on direction and show comparable sensitivity under the learned model behavior.,directionally_consistent,decision_support_with_caution
high_error_case,Higher predicted silica stress test,combined_package,-0.001,-0.0037,True,False,True,True,Both models agree on direction and show comparable sensitivity under the learned model behavior.,directionally_consistent,decision_support_with_caution
high_error_case,Conservative small-adjustment package,combined_package,0.0023,0.0,False,True,True,True,"The models disagree on direction, so this scenario should be treated as low-confidence decision support.",direction_disagreement_exploratory_only,exploratory_not_operational_recommendation
high_error_case,Process drift warning scenario,combined_package,0.1686,-0.0027,False,True,True,True,"The models disagree on direction, so this scenario should be treated as low-confidence decision support.",direction_disagreement_exploratory_only,exploratory_not_operational_recommendation
